Episode, (Transfer RGB), (Transfer RGBD)
1,4.19E+00,2.28E+00
2,6.94E+00,1.30E+00
3,6.43E+00,1.48E+00
4,6.95E+00,2.84E+00
5,5.44E+00,1.25E+00
6,6.19E+00,1.37E+00
7,1.02E+01,1.93E+00
8,6.78E+00,1.14E+00
9,3.62E+00,2.51E+00
10,4.37E+00,1.30E+00
11,8.19E+00,1.13E+00
12,7.64E+00,2.31E+00
13,9.43E+00,3.02E+00
14,6.81E+00,1.02E+00
15,1.12E+01,2.24E+00
16,1.11E+01,1.20E+00
17,1.57E+01,2.29E+00
18,4.87E+00,1.91E+00
19,6.05E+00,2.53E+00
20,1.19E+01,1.86E+00
21,4.81E+00,2.15E+00
22,1.28E+01,1.01E+00
23,7.61E+00,1.66E+00
24,6.61E+00,1.23E+00
25,8.42E+00,1.35E+00
26,8.90E+00,1.69E+00
27,1.02E+01,2.37E+00
28,7.04E+00,2.03E+00
29,1.17E+01,1.85E+00
30,1.27E+01,2.96E+00
31,3.36E+00,1.89E+00
32,1.13E+01,1.56E+00
33,8.33E+00,2.17E+00
34,8.08E+00,2.63E+00
35,5.99E+00,1.85E+00
36,1.08E+01,1.65E+00
37,1.13E+01,1.69E+00
38,2.34E+00,1.25E+00
39,8.93E+00,1.97E+00
40,9.43E+00,1.66E+00
41,6.07E+00,1.64E+00
42,1.01E+01,1.10E+00
43,7.92E+00,1.96E+00
44,9.83E+00,1.01E+00
45,5.16E+00,1.35E+00
46,1.11E+01,2.09E+00
47,4.64E+00,1.53E+00
48,5.96E+00,1.97E+00
49,1.20E+01,1.16E+00
50,1.85E+00,1.90E+00
51,1.08E+01,1.33E+00
52,1.67E+01,1.20E+00
53,1.26E+01,1.35E+00
54,3.86E+00,1.26E+00
55,1.11E+01,9.71E-01
56,8.31E+00,2.22E+00
57,7.06E+00,2.16E+00
58,1.21E+01,1.28E+00
59,4.68E+00,2.53E+00
60,1.36E+01,1.54E+00
61,2.21E+00,1.80E+00
62,1.20E+01,1.39E+00
63,8.03E+00,1.26E+00
64,6.10E+00,2.96E+00
65,4.64E+00,1.64E+00
66,4.79E+00,1.27E+00
67,1.57E+01,1.74E+00
68,9.72E+00,1.46E+00
69,1.47E+01,1.46E+00
70,8.71E+00,9.05E-01
71,1.46E+01,1.89E+00
72,4.50E+00,8.88E-01
73,3.75E+00,7.58E-01
74,6.65E+00,1.01E+00
75,9.56E+00,1.21E+00
76,7.85E+00,6.25E+00
77,7.65E+00,1.33E+01
78,1.06E+01,6.05E+00
79,1.28E+00,6.00E+00
80,1.20E+00,4.91E+00
81,1.36E+00,4.91E+00
82,1.00E+00,2.86E+00
83,1.91E+00,4.02E+00
84,2.64E+00,8.19E+00
85,1.21E+00,4.57E+00
86,1.10E+00,1.19E+01
87,2.89E+00,7.91E+00
88,1.45E+00,1.11E+01
89,2.55E+00,5.84E+00
90,1.09E+00,1.13E+01
91,2.15E+00,5.22E+00
92,3.52E+00,1.02E+01
93,1.58E+00,7.61E+00
94,1.25E+00,1.31E+01
95,2.18E+00,8.15E+00
96,1.34E+00,1.14E+01
97,1.68E+00,8.66E+00
98,1.33E+00,7.19E+00
99,1.72E+00,6.33E+00
100,1.07E+00,8.56E+00
101,2.21E+00,1.04E+01
102,1.35E+00,1.25E+01
103,2.31E+00,4.67E+00
104,1.31E+00,6.46E+00
105,1.67E+00,1.07E+01
106,1.30E+00,4.13E+00
107,1.97E+00,3.80E+00
108,1.77E+00,1.15E+01
109,1.18E+00,2.65E+00
