Episode, (Transfer RGB), (Transfer RGBD), (Transfer RGB)/episode, (Transfer RGBD)/episode,,,,,,Episode, (Transfer RGB)/episode, (Transfer RGBD)/episode
1,3.60E+01,3.50E+01,0,0,,,,,,1,0,0
2,6.10E+01,7.00E+01,2.50E+01,3.50E+01,,,,,,2,25,35
3,8.00E+01,1.00E+02,1.90E+01,3.00E+01,,,,,,3,19,30
4,1.12E+02,1.39E+02,3.20E+01,3.90E+01,,,,,,4,32,39
5,1.38E+02,1.71E+02,2.60E+01,3.20E+01,,,,,,5,26,32
6,1.64E+02,2.07E+02,2.60E+01,3.60E+01,,,,,,6,26,36
7,1.90E+02,2.49E+02,2.60E+01,4.20E+01,,,,,,7,26,42
8,2.11E+02,3.04E+02,2.10E+01,5.50E+01,,,,,,8,21,55
9,2.33E+02,3.60E+02,2.20E+01,5.60E+01,,,,,,9,22,56
10,2.53E+02,4.06E+02,2.00E+01,4.60E+01,,,,,,10,20,46
11,2.73E+02,4.69E+02,2.00E+01,6.30E+01,,,,,,11,20,63
12,2.92E+02,5.25E+02,1.90E+01,5.60E+01,,,,,,12,19,56
13,3.15E+02,5.79E+02,2.30E+01,5.40E+01,,,,,,13,23,54
14,3.36E+02,6.28E+02,2.10E+01,4.90E+01,,,,,,14,21,49
15,3.63E+02,6.85E+02,2.70E+01,5.70E+01,,,,,,15,27,57
16,3.85E+02,7.50E+02,2.20E+01,6.50E+01,,,,,,16,22,65
17,4.02E+02,8.21E+02,1.70E+01,7.10E+01,,,,,,17,17,71
18,4.24E+02,9.02E+02,2.20E+01,8.10E+01,,,,,,18,22,81
19,4.50E+02,9.80E+02,2.60E+01,7.80E+01,,,,,,19,26,78
20,4.83E+02,1.06E+03,3.30E+01,8.40E+01,,,,,,20,33,84
21,5.17E+02,1.15E+03,3.40E+01,8.10E+01,,,,,,21,34,81
22,5.37E+02,1.22E+03,2.00E+01,7.00E+01,,,,,,22,20,70
23,5.78E+02,1.30E+03,4.10E+01,8.10E+01,,,,,,23,41,81
24,6.02E+02,1.37E+03,2.40E+01,7.10E+01,,,,,,24,24,71
25,6.38E+02,1.45E+03,3.60E+01,7.90E+01,,,,,,25,36,79
26,6.61E+02,1.52E+03,2.30E+01,7.00E+01,,,,,,26,23,70
27,6.87E+02,1.59E+03,2.60E+01,7.20E+01,,,,,,27,26,72
28,7.18E+02,1.65E+03,3.10E+01,6.10E+01,,,,,,28,31,61
29,7.40E+02,1.71E+03,2.20E+01,5.80E+01,,,,,,29,22,58
30,7.66E+02,1.76E+03,2.60E+01,5.50E+01,,,,,,30,26,55
31,8.03E+02,1.81E+03,3.70E+01,4.50E+01,,,,,,31,37,45
32,8.35E+02,1.87E+03,3.20E+01,5.80E+01,,,,,,32,32,58
33,8.67E+02,1.91E+03,3.20E+01,4.50E+01,,,,,,33,32,45
34,8.99E+02,1.97E+03,3.20E+01,5.60E+01,,,,,,34,32,56
35,9.25E+02,2.02E+03,2.60E+01,5.30E+01,,,,,,35,26,53
36,9.63E+02,2.07E+03,3.80E+01,4.90E+01,,,,,,36,38,49
37,9.95E+02,2.11E+03,3.20E+01,4.20E+01,,,,,,37,32,42
38,1.03E+03,2.14E+03,3.30E+01,3.00E+01,,,,,,38,33,30
39,1.06E+03,2.19E+03,3.20E+01,4.70E+01,,,,,,39,32,47
40,1.10E+03,2.25E+03,3.50E+01,6.20E+01,,,,,,40,35,62
41,1.13E+03,2.32E+03,3.10E+01,7.40E+01,,,,,,41,31,74
42,1.16E+03,2.38E+03,3.10E+01,5.70E+01,,,,,,42,31,57
43,1.19E+03,2.44E+03,2.80E+01,5.60E+01,,,,,,43,28,56
44,1.22E+03,2.50E+03,3.10E+01,6.70E+01,,,,,,44,31,67
45,1.25E+03,2.54E+03,3.60E+01,3.50E+01,,,,,,45,36,35
46,1.28E+03,2.58E+03,3.20E+01,4.10E+01,,,,,,46,32,41
47,1.32E+03,2.63E+03,3.20E+01,5.30E+01,,,,,,47,32,53
48,1.36E+03,2.69E+03,4.00E+01,5.90E+01,,,,,,48,40,59
49,1.39E+03,2.75E+03,3.30E+01,5.80E+01,,,,,,49,33,58
50,1.42E+03,2.81E+03,3.30E+01,5.90E+01,,,,,,50,33,59
51,1.44E+03,2.85E+03,2.20E+01,4.30E+01,,,,,,51,22,43
52,1.47E+03,2.89E+03,2.40E+01,4.30E+01,,,,,,52,24,43
53,1.50E+03,2.93E+03,3.00E+01,3.50E+01,,,,,,53,30,35
54,1.53E+03,2.96E+03,3.30E+01,3.50E+01,,,,,,54,33,35
55,1.56E+03,3.00E+03,2.60E+01,4.00E+01,,,,,,55,26,40
56,1.58E+03,3.04E+03,1.80E+01,4.00E+01,,,,,,56,18,40
57,1.61E+03,3.09E+03,3.10E+01,4.40E+01,,,,,,57,31,44
58,1.64E+03,3.12E+03,3.00E+01,3.40E+01,,,,,,58,30,34
59,1.66E+03,3.17E+03,2.30E+01,4.80E+01,,,,,,59,23,48
60,1.68E+03,3.20E+03,2.50E+01,3.30E+01,,,,,,60,25,33
61,1.72E+03,3.25E+03,3.50E+01,4.90E+01,,,,,,61,35,49
62,1.74E+03,3.29E+03,2.20E+01,3.70E+01,,,,,,62,22,37
63,1.78E+03,3.34E+03,3.40E+01,4.90E+01,,,,,,63,34,49
64,1.82E+03,3.38E+03,4.00E+01,4.50E+01,,,,,,64,40,45
65,1.85E+03,3.43E+03,3.90E+01,4.30E+01,,,,,,65,39,43
66,1.89E+03,3.46E+03,3.90E+01,3.40E+01,,,,,,66,39,34
67,1.93E+03,3.50E+03,3.30E+01,4.00E+01,,,,,,67,33,40
68,1.97E+03,3.54E+03,4.00E+01,4.10E+01,,,,,,68,40,41
69,2.01E+03,3.59E+03,4.00E+01,4.80E+01,,,,,,69,40,48
