Episode, (Transfer RGB), (Transfer RGBD),,,,Episode, (Transfer RGB)/episode, (Transfer RGBD)/episode
1,-1.56E+00,6.19E-02,,,,1,-1.56E+00,6.19E-02
2,-5.05E+00,-4.04E+00,,,,2,-3.49E+00,-4.10E+00
3,-6.65E+00,-6.10E+00,,,,3,-1.60E+00,-2.06E+00
4,-5.16E+00,-7.87E+00,,,,4,1.490758419,-1.78E+00
5,-5.65E+00,-1.17E+01,,,,5,-0.498969555,-3.84E+00
6,-7.25E-01,-1.54E+01,,,,6,4.929797113,-3.69E+00
7,3.14E+00,-1.80E+01,,,,7,3.861331522,-2.60E+00
8,2.86E+00,-1.70E+01,,,,8,-0.27276516,1.05E+00
9,4.04E+00,-1.67E+01,,,,9,1.175679684,2.86E-01
10,4.06E+00,-1.93E+01,,,,10,0.022696018,-2.59E+00
11,6.52E+00,-2.06E+01,,,,11,2.462780952,-1.29E+00
12,3.72E+00,-2.23E+01,,,,12,-2.8074193,-1.75E+00
13,8.25E+00,-2.16E+01,,,,13,4.537324905,6.91E-01
14,3.79E+00,-2.33E+01,,,,14,-4.462862253,-1.73E+00
15,4.50E+00,-2.53E+01,,,,15,0.708466291,-1.94E+00
16,5.87E+00,-2.56E+01,,,,16,1.370765209,-2.82E-01
17,3.04E+00,-2.66E+01,,,,17,-2.832334757,-1.06E+00
18,7.91E-01,-2.92E+01,,,,18,-2.247991025,-2.60E+00
19,2.07E+00,-2.84E+01,,,,19,1.275514066,8.14E-01
20,2.92E+00,-2.82E+01,,,,20,0.852011442,2.06E-01
21,-1.89E+00,-2.88E+01,,,,21,-4.812387347,-6.45E-01
22,6.94E-01,-2.96E+01,,,,22,2.587852538,-7.40E-01
23,2.64E+00,-2.93E+01,,,,23,1.949941933,2.72E-01
24,5.18E+00,-3.08E+01,,,,24,2.536881447,-1.51E+00
25,8.70E+00,-3.24E+01,,,,25,3.516939163,-1.54E+00
26,4.86E+00,-3.18E+01,,,,26,-3.838249207,5.71E-01
27,-4.19E+00,-3.19E+01,,,,27,-9.04962635,-7.78E-02
28,-5.23E+00,-3.10E+01,,,,28,-1.042398453,9.09E-01
29,-9.80E+00,-3.44E+01,,,,29,-4.572294235,-3.41E+00
30,-5.57E+00,-3.44E+01,,,,30,4.234522343,-7.38E-02
31,-1.12E+01,-3.61E+01,,,,31,-5.587713718,-1.69E+00
32,-5.85E+00,-3.55E+01,,,,32,5.304536819,5.90E-01
33,-9.68E+00,-3.43E+01,,,,33,-3.828043938,1.22E+00
34,-1.01E+01,-3.51E+01,,,,34,-0.395709991,-7.45E-01
35,-1.24E+01,-3.44E+01,,,,35,-2.360289574,6.33E-01
36,-7.15E+00,-3.45E+01,,,,36,5.28729248,-4.23E-02
37,-8.36E+00,-3.47E+01,,,,37,-1.205501556,-2.27E-01
38,-9.05E+00,-3.52E+01,,,,38,-0.697611809,-5.16E-01
